date,enso
1992-10-04,0.545185
1992-10-11,0.493175
1992-10-18,0.44231
1992-10-25,0.378216
1992-11-01,0.407201
1992-11-08,0.545564
1992-11-15,0.666668
1992-11-22,0.783103
1992-11-29,0.994047
1992-12-06,0.908131
1992-12-13,0.847258
1992-12-20,0.889925
1992-12-27,0.953752
1993-01-04,1.158581
1993-01-11,1.253969
1993-01-17,1.244815
1993-01-24,1.150817
1993-01-31,1.196356
1993-02-08,1.210546
1993-02-15,1.258892
1993-02-22,1.207696
1993-02-28,1.327587
1993-03-07,1.371102
1993-03-15,1.390016
1993-03-22,1.337055
1993-03-29,1.351837
1993-04-04,1.454674
1993-04-11,1.417963
1993-04-18,1.342626
1993-04-26,1.339413
1993-05-03,1.289776
1993-05-10,1.287105
1993-05-16,1.301387
1993-05-23,1.272034
1993-05-30,1.183274
1993-06-07,0.882477
1993-06-14,0.89049
1993-06-21,0.975239
1993-06-27,0.981543
1993-07-04,0.817574
1993-07-12,0.945397
1993-07-19,0.923112
1993-07-26,0.945626
1993-08-01,0.792068
1993-08-08,0.75744
1993-08-15,0.92302
1993-08-23,1.005897
1993-08-30,0.962012
1993-09-06,0.909401
1993-09-12,0.845108
1993-09-19,0.799695
1993-09-26,0.763711
1993-10-04,0.756952
1993-10-11,0.762235
1993-10-17,0.868291
1993-10-24,0.828864
1993-10-31,0.798185
1993-11-08,0.779224
1993-11-15,0.872606
1993-11-22,0.818107
1993-11-28,0.790412
1993-12-05,0.786946
1993-12-12,0.798057
1993-12-20,0.794316
1993-12-27,0.76299
1994-01-03,0.794916
1994-01-09,0.799746
1994-01-16,0.692313
1994-01-24,0.550202
1994-01-31,0.352768
1994-02-07,0.339489
1994-02-13,0.194501
1994-02-20,0.090044
1994-02-27,-0.016773
1994-03-07,0.109084
1994-03-14,0.108196
1994-03-21,0.041444
1994-03-27,-0.001809
1994-04-03,0.131156
1994-04-10,0.190682
1994-04-18,0.229958
1994-04-25,0.293445
1994-05-01,0.250554
1994-05-08,0.267014
1994-05-15,0.393647
1994-05-23,0.517633
1994-05-30,0.541533
1994-06-06,0.428189
1994-06-12,0.379082
1994-06-19,0.450925
1994-06-26,0.588696
1994-07-04,0.382582
1994-07-11,0.457201
1994-07-18,0.586388
1994-07-24,0.699381
1994-07-31,0.62804
1994-08-07,0.74432
1994-08-15,0.795435
1994-08-22,0.929099
1994-08-28,1.000411
1994-09-04,0.92507
1994-09-11,0.974684
1994-09-19,1.146327
1994-09-26,1.088554
1994-10-03,1.056193
1994-10-09,1.119032
1994-10-16,1.109569
1994-10-23,1.104897
1994-10-31,1.070614
1994-11-07,1.193197
1994-11-14,1.404886
1994-11-20,1.462576
1994-11-27,1.415338
1994-12-05,1.348086
1994-12-12,1.332926
1994-12-19,1.502955
1994-12-25,1.677373
1995-01-01,1.828581
1995-01-08,1.736552
1995-01-16,1.653553
1995-01-23,1.503663
1995-01-30,1.36254
1995-02-05,1.408937
1995-02-12,1.299862
1995-02-19,1.145862
1995-02-27,0.986666
1995-03-06,0.916851
1995-03-12,0.816609
1995-03-19,0.747261
1995-03-26,0.656834
1995-04-03,0.590773
1995-04-10,0.553732
1995-04-17,0.569979
1995-04-23,0.508011
1995-04-30,0.539359
1995-05-07,0.4871
1995-05-15,0.450175
1995-05-22,0.572606
1995-05-29,0.627053
1995-06-04,0.378617
1995-06-11,0.420575
1995-06-19,0.406713
1995-06-26,0.301593
1995-07-03,0.156967
1995-07-09,0.06223
1995-07-16,-0.030121
1995-07-23,0.138086
1995-07-31,0.080573
1995-08-07,-0.147592
1995-08-14,-0.224993
1995-08-20,-0.25939
1995-08-27,-0.319688
1995-09-03,-0.390124
1995-09-11,-0.347482
1995-09-18,-0.324923
1995-09-24,-0.364984
1995-10-01,-0.326265
1995-10-08,-0.35393
1995-10-16,-0.365351
1995-10-23,-0.421929
1995-10-30,-0.431301
1995-11-05,-0.369066
1995-11-12,-0.427434
1995-11-19,-0.473299
1995-11-27,-0.513048
1995-12-11,-0.566344
1995-12-17,-0.419185
1995-12-24,-0.416731
1996-01-01,-0.286872
