,date,iod
0,1992-10-04,-0.844694
1,1992-10-11,-1.089122
2,1992-10-18,-1.279551
3,1992-10-25,-1.482551
4,1992-11-01,-1.147044
5,1992-11-08,-1.049548
6,1992-11-15,-0.969575
7,1992-11-22,-0.968241
8,1992-11-29,-0.98765
9,1992-12-06,-1.149368
10,1992-12-13,-1.201033
11,1992-12-20,-0.868927
12,1992-12-27,-0.414088
13,1993-01-04,-0.38542
14,1993-01-11,-0.04604
15,1993-01-17,0.09996
16,1993-01-24,-0.00356
17,1993-01-31,-0.232526
18,1993-02-08,-0.001366
19,1993-02-15,0.117857
20,1993-02-22,0.015253
21,1993-02-28,0.099712
22,1993-03-07,0.037478
23,1993-03-15,-0.002405
24,1993-03-22,-0.185975
25,1993-03-29,-0.364506
26,1993-04-04,-0.149654
27,1993-04-11,-0.263125
28,1993-04-18,-0.349659
29,1993-04-26,-0.376883
30,1993-05-03,0.176441
31,1993-05-10,-0.062764
32,1993-05-16,-0.041534
33,1993-05-23,-0.063418
34,1993-05-30,-0.048461
35,1993-06-07,-0.010272
36,1993-06-14,-0.052189
37,1993-06-21,0.103946
38,1993-06-27,0.341453
39,1993-07-04,0.210232
40,1993-07-12,0.226699
41,1993-07-19,0.249582
42,1993-07-26,-0.19397
43,1993-08-01,-0.912772
44,1993-08-08,-0.830468
45,1993-08-15,-0.460214
46,1993-08-23,-0.207916
47,1993-08-30,-0.110892
48,1993-09-06,-0.306109
49,1993-09-12,-0.481074
50,1993-09-19,-0.35082
51,1993-09-26,-0.358532
52,1993-10-04,-0.302847
53,1993-10-11,-0.45301
54,1993-10-17,-0.447995
55,1993-10-24,-0.403623
56,1993-10-31,0.077793
57,1993-11-08,-0.017747
58,1993-11-15,-0.197918
59,1993-11-22,-0.624629
60,1993-11-28,-0.895645
61,1993-12-05,-1.0391
62,1993-12-12,-1.086993
63,1993-12-20,-1.123446
64,1993-12-27,-1.028901
65,1994-01-03,-1.258053
66,1994-01-09,-0.919042
67,1994-01-16,-0.589354
68,1994-01-24,-0.456501
69,1994-01-31,-0.254652
70,1994-02-07,-0.548045
71,1994-02-13,-0.625197
72,1994-02-20,-0.586848
73,1994-02-27,-0.722751
74,1994-03-07,-0.583142
75,1994-03-14,-0.463871
